references,ss_code,course_subject,sessions,course_number,year_offered,evaluation,start_date,course_title,format,course_objective,textbooks,instructor,compulsory,course_outline,term,room,prerequisites,offered_this_year,notes,other_instructors,day_and_time,credit,open_to,sheetno,sheetname
,cl208,UNKNOWN,"<tr><td><div>1</div></td><td><div>

Definition and Context

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Theory and Method

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Corporate Law

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Negotiations and Contracts

</div></td></tr>

<tr><td><div>5</div></td><td><div>

The Main Bank

</div></td></tr>

<tr><td><div>6</div></td><td><div>

M&A

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Lifelong Employment

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Gender and Society

</div></td></tr>",656,,,,"On-demand seminar(Corporate governance in Japan: issues, theories, methods and case-studies)",Seminar,"<p>In this course, you are invited to consider whether Japanese managers conduct the affairs of their corporations in a different way. For example, is it true that corporate governance aims to promote employees' welfare rather than shareholder returns? Or is corporate governance also aimed at facilitating productive efficiency? Or, just like the West, is corporate governance simply about profit-maximisation? </p>
<p>This course pursues these questions in a mix of classes blending theory, research method and applied case studies.</p>",,Prof. Leon Wolff,Yes,"<p>""Corporate governance in Japan: issues, theories, methods and case-studies""</p>
<p>Course Overview: This course examines corporate governance practices in Japan. The dominant theoretical model of corporate governance in the West is that of shareholder primacy - the view that the main aim of corporate governance is to ensure that directors maximise shareholder returns. Although commentators have also suggested that corporations should also consider environmental, labour and other social responsibilities, this does not reflect the priorities of most Anglo-American company directors or the preferences of the majority of shareholders.</p>",,Leader's satellite room,,,,,"From October 6-10, 15-17 , Mon 10:30-12:00,Tue 10:30-12:00, Wed 10:30-12:00, Thu 10:30-12:00, Fri 10:30-12:00,Wed 10:30-12:00, Thu 10:30-12:00, Fri 10:30-12:00",1,M1 &amp; M2,0,Courses
,cl209,Specialized Courses,,701,,,,Project Management �,lecture,,,"Y Matsuura, M Sunahara",Yes,,Fall,Leader's satellite,,,,,"October 23,Thu 8:45-12:00, October 30, Thu , 8:45-12:00, November 13, Thu 8:45-12:00, November 20, Thu 8:45-12:00, November 27, Thu 8:45-12:00, December 4, Thu 8:45-12:00, December 11, 8:45-12:00, December 18, Thu 8:45-10:15",2,D1,0,Courses
,cl210,Specialized Courses,,702,,,,Academic Writing �,lecture,,,P. Lege,Yes,,Fall,Leader's satellite,,,,,"14:30-16:15, Wednesday",2,D1,0,Courses
,cl211,Specialized Courses,,703,,,,Joint Research Workshop �,Seminar,,,"Y Matsuura, K Ono, D Yokomizo",Yes,,Spring,leader's satellite,,,,,not fixed,2,D1,0,Courses
,cl212,Specialized Courses,,704,,,,Special Research �,Tutorials,,,,Yes,,,,,,,,,4,D1,0,Courses
,cl214,Specialized Courses,,705,,,,Special Research �,Tutolials,,,,Yes,,,Leader's satellite,,,,,,4,D2,0,Courses
,cl215,Specialized Courses,,706,,,,Special Research �,Tutorials,,,,Yes,,,,,,,,,4,D3,0,Courses
,cl216,Specialized Courses,,707,,,,Seminar in International Law and Politics �,Seminar,,,,Yes,,,,,,,,,4,D1,0,Courses
,cl217,Specialized Courses,,708,,,,Seminar in International Law and Politics �,Seminar,,,,Yes,,,Leader's satellite,,,,,,4,D2,0,Courses
,cl213,Specialized Courses,,709,,,,Seminar in International Law and Politics �,Seminar,,,,Yes,,,leader's satellite room,,,,,,4,D3,0,Courses
,cl180,ACADEMIC WRITING,,800,,,,Academic Writing Tutorials,Tutorial,,,F Bennett,,,1 2,According to calendar,,,,"G Colombo, I Giraudou, D Green, H Ito, C Lawson, P Lege, Y Matsuura, S McGinty",By appointment,None,M1&amp;M2,0,Courses
To be mentioned in the class. Some references on the web are provided through links.,cl173,ACADEMIC WRITING,"<tr><td><div>1</div></td><td><div>

Introduction & The Concept of Academic Paper

May 8 (Wed) 8:45-10:15

Room 307

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Critical Steps to Develop an Academic Paper

June 21(Fri) 14:45-16:15

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Step 1

Understand the Past Discussion

June 28 (Fri)

16:30-18:00

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Step 2

Problem Statement

July 5 (Fri)

14:45-16:15

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Step 3

Development of a survey memo

Analysis & Critique

July 12 (Fri)

14:45-16:15

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Step 4

Design of Your Paper

July 31

13:00-14:30

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Step 5

From Abstract to Introduction

Sept. 18

13:00-14:30

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Step 6

Introduction

& Table of Contents

Sept.20

13:00-14:30

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Step 7

Analysis of introduction

Sept. 25

9:30-11:00

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Step 8

A Theory of Footnotes

Oct. 1

14:00-15:30

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Exercise 1

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Exercise 2

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Exercise 3

</div></td></tr>",801,,This is not the course for credits.,,Academic Writing (Intensive Course),,"<p>Each participant is expected to develop basic academic skilss to write a ten-page survey paper in a specified format by the end of the semester. Each participant chooses a theme of this paper from his/her thesis topic.</p>
<p>In addition, each participant will make an oral presentation of his/her survey paper by using slides or Powerpoint toward the end of the course.</p>","<p>William Strunk, Jr., ""The Elements of Style"" which is available at:</p>
<p>http://www.bartleby.com/141/</p>
<p>Other teaching materials will be provided either in print or through the Internet.</p>",Bennett &amp; Matsuura,,"<p>This is not a regular course. The contents of this course is roughly the same as Academic Writing 1. The course is open only for M1 students who started their first semester from Octber, 2011.</p>
<p>This course introduces the participants to the first phase of academic writing. The first phase covers such topics as ""Topic Selection"", ""Basic Research"", ""Survey Paper"", ""Bibliography Development"", ""Footnotes"", ""Table of Contents"" and ""Development of 'Introduction'."" The participants are expected to learn the basic skills of academic writing with the method of ""learning by doing.""</p>",,,"Though this is not the course for credits, regular attendance is required.",,,,flexible,non-credit,M1,0,Courses
,cl189,CONSTIUTIONAL LAW,"<tr><td><div>1</div></td><td><div>

Writing Guide Ver. 01 Spring 2013

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Searching the Law: Research using English Materials

Date: 15 May (Wed)

13:00-14:30

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Writing Guidelines: Essentialsof Academic Writing

Date: 15 May (Wed)

15:00-16:30

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Multilingual Zotero: How to Manage your Resouces for Academic Writing

Date: May 22 (Wed) 15:00-16:30

</div></td></tr>

<tr><td><div>5</div></td><td><div>

No Plagiarism: Common Sense for Academics

Date: May 29 (Wed) 15:00-16:30

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Working with Long ""Word"" Documents

Date: June 12 (Wed) 15:00-16:30

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Online Writing Tools

Date: June 26 13:00-14:30

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Working with Multilingual Zotero

</div></td></tr>

<tr><td><div>9</div></td><td><div>

More Writing Tools: AdTAT Concordancer & My Writing Lab

</div></td></tr>",802,,,,Academic Writing Workshops,,,,Academic Writing Teachers,Yes,,Spring,,,,,,,non,2013,0,Courses
Donald N. McCloskey The Applied Theory of Price (Available through Internet),cl153,PRICE THEORY,"<tr><td><div>1</div></td><td><div>

Introduction

April 10th, Friday

8:45 Seminar room #5 In the 4th floor at Economics.

</div></td></tr>

<tr><td><div>2</div></td><td><div>

HouseholdBehavior (1)

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Household Behavior(2)

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Household Behavior(3)

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Household Behavior(4)

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Firm Behavior (1)

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Firm Behavior (2)

</div></td></tr>

<tr><td><div>8</div></td><td><div>

The Firm and the Industry (3)

</div></td></tr>

<tr><td><div>9</div></td><td><div>

The Firm and the Industry (4)

</div></td></tr>

<tr><td><div>10</div></td><td><div>

The Firm and the Industry (5)

</div></td></tr>

<tr><td><div>11</div></td><td><div>

The Firm and the Industry (6)

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Demand for Factors of Production (1)

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Supply of Factors fo Production (2):

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Theory of Markets (1)

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Theory of Markets (2)

</div></td></tr>",901,,Will be evaluated by mid-term examination and term paper.,,Price Theory and Applications http://www.soec.nagoya-u.ac.jp/workshop2/,Seminar,,"Jack Hirshleifer et. Price Theory and Applications, Seventh Edition.",Y Arayama,,"A simple economy consists of households, firms and government. Market is manmade device to connect them each other. Price theory is serving as a tool to analyze functions of household and firm behaviors. This course is intending not only to promote understanding basic economic theory but to enhance a sense of practical applications of price theory toward the real world.",,,Be prepared and have no regrets.,,,,,,M1 &amp; M2,0,Courses
,cl154,TBA,"<tr><td><div>1</div></td><td><div>

April 16,

17:00-18:30 Orientation

seminar room 11 

(4F, Economics Dept.)

</div></td></tr>

<tr><td><div>2</div></td><td><div>

April 23

17:00-18:30

The Market& Law

</div></td></tr>

<tr><td><div>3</div></td><td><div>

May 07

17:00-18:30

The Market& Law (Ecomomists' view)

</div></td></tr>

<tr><td><div>4</div></td><td><div>

May 14

17:00-18:30

Stage-setting for the Market

</div></td></tr>

<tr><td><div>5</div></td><td><div>

May 21

17:00-18:30

</div></td></tr>

<tr><td><div>6</div></td><td><div>

June 11

17:00-18:30

Contract Law

(Economists' View)

</div></td></tr>

<tr><td><div>7</div></td><td><div>

June 18

17:00-18:30

Law of Torts

(lawyers' perspective)

</div></td></tr>

<tr><td><div>8</div></td><td><div>

June 25

17:00-18:30

</div></td></tr>

<tr><td><div>9</div></td><td><div>

July xx

17:00-18:30

(economists' view)

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Oct.01

17:00-18:30

Transaction Cost & Opportunity Cost

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Oct.08

17:00-18:30

Topics;

Monopoly

17:00

Room #6

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Oct. xx

17:00-18:30

Selected Topics 

Monopoly,

17:00

Room #6

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Oct. xx

17:00-18:30

Selected Topic:

Monopoly

17:00

Room #6

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Nov. xx

17:00-18:30

Topic:

Monopoly

17:00

Room #6

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Nov. xx

Tolic:

Monopoly

17:00

Room #6

</div></td></tr>

<tr><td><div>16</div></td><td><div>

Nov. xx

Due date for the submission of the Term Paper:

</div></td></tr>

<tr><td><div>17</div></td><td><div></div></td></tr>",902,,"Students should pick one or several topics crossly related their interest in Becker-Posner Blog and make one presentation (15min.) at the WS and hand in one report (2-3 A4 pages) based on the presentation for getting credit. Students in doctorial course are welcome to make presentation on their own research topics at the WS. Needless say, active participation to WS is highly preferable for higher evaluation.",,Law &amp; Economics http://www.soec.nagoya-u.ac.jp/workshop2/,Workshop,This workshop is organized by a faculty of Economics jointly with a faculty of Law to promote theoretical and practical understandings of legal regulations imposed on economic activities.,"<p>Law and Economics 4th ed.  Robert COOTER &amp; Thomas ULEN, Pearson, 2003.</p>
<p>(Some copies are available from the Library of the Economics Faculty.)</p>",Y Arayama,,"<p>15 workshops (minimum) will be held in a year according to the workshop calendar. This workshop will pick up the following topics in Law &amp; Economics to promote understandings on human behavior, Social contracts and legal structure in our modern society. The workshop will also invite several prominent scholars and practitioners in the field of law and economics to present their ideas. We also courage doctor level students to present his/her idea concerning their research project for doctorial thesis. </p>
<p>Major Contents:</p>
<p>Topic 1: Market Activities and Law</p>
<p>Economic Behavior of Households and Firms</p>
<p>Projection of Economic Activities to Law</p>
<p>Topic 2: Property Rights and Property Law</p>
<p>Institutional Arrangements of Law for Property </p>
<p>An Economic Theory of Property Rights</p>
<p>Topic 3: Contract Law</p>
<p>Topics in the Economics of Contract Law</p>
<p>An Economic Theory of Contract</p>
<p>Topic 4: Tort Liability and Tort Law</p>
<p>Automobile Accidents and Human Causalities</p>
<p>Economics of Tort Liability</p>
<p>Transaction Cost and Property Rights</p>
<p>Topic 5: Special Topics in Law and Economics</p>
<p>Transaction Cost and Economic Efficiency of Institutional Arrangements</p>
<p>Abuse of Superior Bargaining Position: What is monopoly all about?</p>
<p>F. Hayek and the Rule of Law</p>",1 2,,"<p>Workshop calendar can be checked at Home-Page of Graduate School of Economics. </p>
<p>ワークショップの予定については、経済学研究科HPを参照のこと。</p>",,,Y Matsuura (guest),Wed 17:00-18:30,2,,0,Courses
